,Actual Load
2025-01-01 00:00:00+01:00,17755.2
2025-01-01 01:00:00+01:00,17977.54
2025-01-01 02:00:00+01:00,17910.12
2025-01-01 03:00:00+01:00,17771.12
2025-01-01 04:00:00+01:00,18077.74
2025-01-01 05:00:00+01:00,18187.08
2025-01-01 06:00:00+01:00,18303.95
2025-01-01 07:00:00+01:00,18465.35
2025-01-01 08:00:00+01:00,18865.46
2025-01-01 09:00:00+01:00,19167.69
2025-01-01 10:00:00+01:00,19384.87
2025-01-01 11:00:00+01:00,19778.36
2025-01-01 12:00:00+01:00,20440.1
2025-01-01 13:00:00+01:00,20362.94
2025-01-01 14:00:00+01:00,20580.67
2025-01-01 15:00:00+01:00,20979.22
2025-01-01 16:00:00+01:00,20981.1
2025-01-01 17:00:00+01:00,20951.54
2025-01-01 18:00:00+01:00,20838.51
2025-01-01 19:00:00+01:00,20563.91
2025-01-01 20:00:00+01:00,20346.41
2025-01-01 21:00:00+01:00,20087.45
2025-01-01 22:00:00+01:00,19811.04
2025-01-01 23:00:00+01:00,19277.34
2025-01-02 00:00:00+01:00,19223.76
2025-01-02 01:00:00+01:00,18965.93
2025-01-02 02:00:00+01:00,18615.96
2025-01-02 03:00:00+01:00,18347.74
2025-01-02 04:00:00+01:00,18440.98
2025-01-02 05:00:00+01:00,19157.99
2025-01-02 06:00:00+01:00,20354.33
2025-01-02 07:00:00+01:00,21495.23
2025-01-02 08:00:00+01:00,21853.7
2025-01-02 09:00:00+01:00,22295.68
2025-01-02 10:00:00+01:00,22302.71
2025-01-02 11:00:00+01:00,22019.09
2025-01-02 12:00:00+01:00,22138.66
2025-01-02 13:00:00+01:00,21908.13
2025-01-02 14:00:00+01:00,22160.2
2025-01-02 15:00:00+01:00,22392.88
2025-01-02 16:00:00+01:00,22416.65
2025-01-02 17:00:00+01:00,22203.35
2025-01-02 18:00:00+01:00,22101.12
2025-01-02 19:00:00+01:00,22053.57
2025-01-02 20:00:00+01:00,21855.42
2025-01-02 21:00:00+01:00,21916.2
2025-01-02 22:00:00+01:00,21504.63
2025-01-02 23:00:00+01:00,20652.87
2025-01-03 00:00:00+01:00,19626.16
2025-01-03 01:00:00+01:00,19597.3
2025-01-03 02:00:00+01:00,19779.0
2025-01-03 03:00:00+01:00,19409.62
2025-01-03 04:00:00+01:00,19090.76
2025-01-03 05:00:00+01:00,19481.27
2025-01-03 06:00:00+01:00,20763.93
2025-01-03 07:00:00+01:00,21933.95
2025-01-03 08:00:00+01:00,22363.23
2025-01-03 09:00:00+01:00,22500.19
2025-01-03 10:00:00+01:00,22481.75
2025-01-03 11:00:00+01:00,22314.28
2025-01-03 12:00:00+01:00,22287.34
2025-01-03 13:00:00+01:00,22253.19
2025-01-03 14:00:00+01:00,22220.25
2025-01-03 15:00:00+01:00,22216.0
2025-01-03 16:00:00+01:00,22181.13
2025-01-03 17:00:00+01:00,22164.72
2025-01-03 18:00:00+01:00,21929.45
2025-01-03 19:00:00+01:00,21644.49
2025-01-03 20:00:00+01:00,21982.36
2025-01-03 21:00:00+01:00,21609.88
2025-01-03 22:00:00+01:00,21004.61
2025-01-03 23:00:00+01:00,20730.42
2025-01-04 00:00:00+01:00,20719.16
2025-01-04 01:00:00+01:00,20142.9
2025-01-04 02:00:00+01:00,19956.39
2025-01-04 03:00:00+01:00,19864.78
2025-01-04 04:00:00+01:00,19780.0
2025-01-04 05:00:00+01:00,19594.05
2025-01-04 06:00:00+01:00,19877.66
2025-01-04 07:00:00+01:00,20213.67
2025-01-04 08:00:00+01:00,20809.97
2025-01-04 09:00:00+01:00,21177.7
2025-01-04 10:00:00+01:00,21619.89
2025-01-04 11:00:00+01:00,21732.78
2025-01-04 12:00:00+01:00,21464.81
2025-01-04 13:00:00+01:00,21593.06
2025-01-04 14:00:00+01:00,21605.13
2025-01-04 15:00:00+01:00,21750.35
2025-01-04 16:00:00+01:00,21745.11
2025-01-04 17:00:00+01:00,21796.77
2025-01-04 18:00:00+01:00,22097.3
2025-01-04 19:00:00+01:00,22125.79
2025-01-04 20:00:00+01:00,21695.97
2025-01-04 21:00:00+01:00,21498.99
2025-01-04 22:00:00+01:00,21172.65
2025-01-04 23:00:00+01:00,20840.35
2025-01-05 00:00:00+01:00,20538.46
2025-01-05 01:00:00+01:00,20052.14
2025-01-05 02:00:00+01:00,19862.91
2025-01-05 03:00:00+01:00,19956.69
2025-01-05 04:00:00+01:00,19979.74
2025-01-05 05:00:00+01:00,20001.86
2025-01-05 06:00:00+01:00,20178.91
2025-01-05 07:00:00+01:00,20220.22
2025-01-05 08:00:00+01:00,20649.99
2025-01-05 09:00:00+01:00,21154.63
2025-01-05 10:00:00+01:00,21580.0
2025-01-05 11:00:00+01:00,21838.15
2025-01-05 12:00:00+01:00,21976.94
2025-01-05 13:00:00+01:00,21982.4
2025-01-05 14:00:00+01:00,22171.96
2025-01-05 15:00:00+01:00,22384.04
2025-01-05 16:00:00+01:00,22738.28
2025-01-05 17:00:00+01:00,22636.87
2025-01-05 18:00:00+01:00,22593.38
2025-01-05 19:00:00+01:00,22366.29
2025-01-05 20:00:00+01:00,22260.02
2025-01-05 21:00:00+01:00,21899.93
2025-01-05 22:00:00+01:00,21448.84
2025-01-05 23:00:00+01:00,20747.51
2025-01-06 00:00:00+01:00,20064.25
2025-01-06 01:00:00+01:00,19706.58
2025-01-06 02:00:00+01:00,19712.17
2025-01-06 03:00:00+01:00,19670.58
2025-01-06 04:00:00+01:00,19731.77
2025-01-06 05:00:00+01:00,19962.44
2025-01-06 06:00:00+01:00,21145.52
2025-01-06 07:00:00+01:00,22504.24
2025-01-06 08:00:00+01:00,22995.15
2025-01-06 09:00:00+01:00,22970.26
2025-01-06 10:00:00+01:00,22879.91
2025-01-06 11:00:00+01:00,22969.65
2025-01-06 12:00:00+01:00,22993.13
2025-01-06 13:00:00+01:00,22862.76
2025-01-06 14:00:00+01:00,22954.8
2025-01-06 15:00:00+01:00,23223.56
2025-01-06 16:00:00+01:00,23414.45
2025-01-06 17:00:00+01:00,23172.68
2025-01-06 18:00:00+01:00,22665.79
2025-01-06 19:00:00+01:00,22294.88
2025-01-06 20:00:00+01:00,21925.93
2025-01-06 21:00:00+01:00,21521.31
2025-01-06 22:00:00+01:00,21024.63
2025-01-06 23:00:00+01:00,20438.54
2025-01-07 00:00:00+01:00,19848.35
2025-01-07 01:00:00+01:00,19582.23
2025-01-07 02:00:00+01:00,19370.55
2025-01-07 03:00:00+01:00,19247.04
2025-01-07 04:00:00+01:00,19329.5
2025-01-07 05:00:00+01:00,19627.28
2025-01-07 06:00:00+01:00,20649.07
2025-01-07 07:00:00+01:00,21655.34
2025-01-07 08:00:00+01:00,22132.28
2025-01-07 09:00:00+01:00,22002.87
2025-01-07 10:00:00+01:00,21900.65
2025-01-07 11:00:00+01:00,21754.02
2025-01-07 12:00:00+01:00,21613.19
2025-01-07 13:00:00+01:00,21506.18
2025-01-07 14:00:00+01:00,21574.65
2025-01-07 15:00:00+01:00,21752.67
2025-01-07 16:00:00+01:00,22212.67
2025-01-07 17:00:00+01:00,22065.77
2025-01-07 18:00:00+01:00,21687.61
2025-01-07 19:00:00+01:00,21468.23
2025-01-07 20:00:00+01:00,21250.08
2025-01-07 21:00:00+01:00,21050.43
2025-01-07 22:00:00+01:00,20599.62
2025-01-07 23:00:00+01:00,19968.65
2025-01-08 00:00:00+01:00,19296.92
2025-01-08 01:00:00+01:00,18952.09
2025-01-08 02:00:00+01:00,18807.92
2025-01-08 03:00:00+01:00,18724.26
2025-01-08 04:00:00+01:00,18704.5
2025-01-08 05:00:00+01:00,18786.38
2025-01-08 06:00:00+01:00,20059.14
2025-01-08 07:00:00+01:00,21680.14
2025-01-08 08:00:00+01:00,22103.95
2025-01-08 09:00:00+01:00,22432.58
2025-01-08 10:00:00+01:00,22382.61
2025-01-08 11:00:00+01:00,21869.27
2025-01-08 12:00:00+01:00,21902.47
2025-01-08 13:00:00+01:00,21925.51
2025-01-08 14:00:00+01:00,21907.61
2025-01-08 15:00:00+01:00,22110.85
2025-01-08 16:00:00+01:00,22254.26
2025-01-08 17:00:00+01:00,22408.71
2025-01-08 18:00:00+01:00,22059.49
2025-01-08 19:00:00+01:00,21812.06
2025-01-08 20:00:00+01:00,21681.61
2025-01-08 21:00:00+01:00,21429.64
2025-01-08 22:00:00+01:00,21144.33
2025-01-08 23:00:00+01:00,20622.77
2025-01-09 00:00:00+01:00,20178.33
2025-01-09 01:00:00+01:00,19939.38
2025-01-09 02:00:00+01:00,19799.03
2025-01-09 03:00:00+01:00,19563.1
2025-01-09 04:00:00+01:00,19606.01
2025-01-09 05:00:00+01:00,19943.79
2025-01-09 06:00:00+01:00,20931.42
2025-01-09 07:00:00+01:00,22093.87
2025-01-09 08:00:00+01:00,22201.54
2025-01-09 09:00:00+01:00,22171.69
2025-01-09 10:00:00+01:00,22358.54
2025-01-09 11:00:00+01:00,21965.25
2025-01-09 12:00:00+01:00,21837.78
