Time(Local),Production,Consumption
01.01.2026 00:00:00 +01:00,"18448,59","16662,95"
01.01.2026 01:00:00 +01:00,"18693,66","14953,24"
01.01.2026 02:00:00 +01:00,"18639,68","14298,07"
01.01.2026 03:00:00 +01:00,"18502,66","13254,81"
01.01.2026 04:00:00 +01:00,"18458,45","12678,51"
01.01.2026 05:00:00 +01:00,"18636,48","12706,47"
01.01.2026 06:00:00 +01:00,"18964,77","12967,66"
01.01.2026 07:00:00 +01:00,"19279,57","13289,36"
01.01.2026 08:00:00 +01:00,"19537,61","13593,11"
01.01.2026 09:00:00 +01:00,"19791,62","14009,36"
01.01.2026 10:00:00 +01:00,"20104,39","14417,61"
01.01.2026 11:00:00 +01:00,"20289,26","15096,71"
01.01.2026 12:00:00 +01:00,"20459,43","15274,79"
01.01.2026 13:00:00 +01:00,"20591,93","15438,74"
01.01.2026 14:00:00 +01:00,"20787,06","15905,07"
01.01.2026 15:00:00 +01:00,"20698,00","16701,68"
01.01.2026 16:00:00 +01:00,"20571,68","17356,46"
01.01.2026 17:00:00 +01:00,"20492,96","17827,26"
01.01.2026 18:00:00 +01:00,"20309,06","18362,00"
01.01.2026 19:00:00 +01:00,"20184,06","18243,72"
01.01.2026 20:00:00 +01:00,"19956,19","18017,53"
01.01.2026 21:00:00 +01:00,"19718,43","17380,07"
01.01.2026 22:00:00 +01:00,"19623,18","16740,26"
01.01.2026 23:00:00 +01:00,"19814,06","15974,65"
02.01.2026 00:00:00 +01:00,"19496,78","14821,37"
02.01.2026 01:00:00 +01:00,"19246,07","13826,33"
02.01.2026 02:00:00 +01:00,"19133,70","12743,11"
02.01.2026 03:00:00 +01:00,"19133,80","12786,86"
02.01.2026 04:00:00 +01:00,"19262,39","12647,35"
02.01.2026 05:00:00 +01:00,"19613,33","12850,44"
02.01.2026 06:00:00 +01:00,"20404,24","14353,17"
02.01.2026 07:00:00 +01:00,"20958,16","16450,39"
02.01.2026 08:00:00 +01:00,"21375,67","18967,05"
02.01.2026 09:00:00 +01:00,"21779,95","20141,75"
02.01.2026 10:00:00 +01:00,"22037,93","20267,21"
02.01.2026 11:00:00 +01:00,"22310,52","19592,50"
02.01.2026 12:00:00 +01:00,"22461,32","20247,72"
02.01.2026 13:00:00 +01:00,"22473,40","20332,97"
02.01.2026 14:00:00 +01:00,"22583,62","21395,35"
02.01.2026 15:00:00 +01:00,"22728,78","23500,14"
02.01.2026 16:00:00 +01:00,"22859,27","24447,04"
02.01.2026 17:00:00 +01:00,"22790,85","24701,44"
02.01.2026 18:00:00 +01:00,"22594,92","24840,75"
02.01.2026 19:00:00 +01:00,"22371,22","24320,26"
02.01.2026 20:00:00 +01:00,"22061,74","23539,46"
02.01.2026 21:00:00 +01:00,"21662,61","23506,18"
02.01.2026 22:00:00 +01:00,"21321,09","22675,59"
02.01.2026 23:00:00 +01:00,"20843,58","21693,33"
03.01.2026 00:00:00 +01:00,"20506,23","22115,90"
03.01.2026 01:00:00 +01:00,"20218,46","21572,64"
03.01.2026 02:00:00 +01:00,"19895,81","20710,60"
03.01.2026 03:00:00 +01:00,"19880,98","20344,44"
03.01.2026 04:00:00 +01:00,"19820,70","19724,81"
03.01.2026 05:00:00 +01:00,"19940,92","20111,00"
03.01.2026 06:00:00 +01:00,"20234,13","20422,32"
03.01.2026 07:00:00 +01:00,"20578,98","21740,54"
03.01.2026 08:00:00 +01:00,"21106,65","23337,36"
03.01.2026 09:00:00 +01:00,"21592,97","23478,95"
03.01.2026 10:00:00 +01:00,"22021,48","23980,01"
03.01.2026 11:00:00 +01:00,"22234,51","23930,19"
03.01.2026 12:00:00 +01:00,"22310,54","23744,96"
