Time(Local),Production,Consumption
01.01.2026 00:00:00 +01:00,16662.95,18002.73
01.01.2026 01:00:00 +01:00,14953.24,17969.40
01.01.2026 02:00:00 +01:00,14298.07,17840.68
01.01.2026 03:00:00 +01:00,13254.81,17703.14
01.01.2026 04:00:00 +01:00,12678.51,17659.47
01.01.2026 05:00:00 +01:00,12706.47,17842.73
01.01.2026 06:00:00 +01:00,12967.66,18168.98
01.01.2026 07:00:00 +01:00,13289.36,18483.16
01.01.2026 08:00:00 +01:00,13593.11,18740.74
01.01.2026 09:00:00 +01:00,14009.36,18996.22
01.01.2026 10:00:00 +01:00,14417.61,19307.80
01.01.2026 11:00:00 +01:00,15096.71,19494.76
01.01.2026 12:00:00 +01:00,15274.79,19664.47
01.01.2026 13:00:00 +01:00,15438.74,19795.24
01.01.2026 14:00:00 +01:00,15905.07,19996.85
01.01.2026 15:00:00 +01:00,16701.68,20320.97
01.01.2026 16:00:00 +01:00,17356.46,20563.35
01.01.2026 17:00:00 +01:00,17827.26,20496.11
01.01.2026 18:00:00 +01:00,18362.00,20312.20
01.01.2026 19:00:00 +01:00,18243.72,20187.20
01.01.2026 20:00:00 +01:00,18017.53,19957.09
01.01.2026 21:00:00 +01:00,17380.07,19704.50
01.01.2026 22:00:00 +01:00,16740.26,19442.10
01.01.2026 23:00:00 +01:00,15974.65,19187.93
02.01.2026 00:00:00 +01:00,14821.37,18879.33
02.01.2026 01:00:00 +01:00,13826.33,18630.74
02.01.2026 02:00:00 +01:00,12743.11,18516.72
02.01.2026 03:00:00 +01:00,12786.86,18517.44
02.01.2026 04:00:00 +01:00,12647.35,18646.37
02.01.2026 05:00:00 +01:00,12850.44,18997.72
02.01.2026 06:00:00 +01:00,14353.17,19790.34
02.01.2026 07:00:00 +01:00,16450.39,20714.21
02.01.2026 08:00:00 +01:00,18967.05,21378.82
02.01.2026 09:00:00 +01:00,20141.75,21783.10
02.01.2026 10:00:00 +01:00,20267.21,22041.08
02.01.2026 11:00:00 +01:00,19592.50,22313.67
02.01.2026 12:00:00 +01:00,20247.72,22464.47
02.01.2026 13:00:00 +01:00,20332.97,22476.55
02.01.2026 14:00:00 +01:00,21395.35,22586.77
02.01.2026 15:00:00 +01:00,23500.14,22731.93
02.01.2026 16:00:00 +01:00,24447.04,22862.41
02.01.2026 17:00:00 +01:00,24701.44,22794.00
02.01.2026 18:00:00 +01:00,24840.75,22598.07
02.01.2026 19:00:00 +01:00,24320.26,22374.37
02.01.2026 20:00:00 +01:00,23539.46,22064.88
02.01.2026 21:00:00 +01:00,23506.18,21665.76
02.01.2026 22:00:00 +01:00,22675.59,21324.23
02.01.2026 23:00:00 +01:00,21693.33,20846.72
03.01.2026 00:00:00 +01:00,22115.90,20509.38
03.01.2026 01:00:00 +01:00,21572.64,20221.61
03.01.2026 02:00:00 +01:00,20710.60,19898.96
03.01.2026 03:00:00 +01:00,20344.44,19884.13
03.01.2026 04:00:00 +01:00,19724.81,19823.85
03.01.2026 05:00:00 +01:00,20111.00,19944.08
03.01.2026 06:00:00 +01:00,20422.32,20237.28
03.01.2026 07:00:00 +01:00,21740.54,20582.12
03.01.2026 08:00:00 +01:00,23337.36,21109.79
03.01.2026 09:00:00 +01:00,23478.95,21596.12
03.01.2026 10:00:00 +01:00,23980.01,22024.63
03.01.2026 11:00:00 +01:00,23930.19,22237.66
03.01.2026 12:00:00 +01:00,23744.96,22313.68
03.01.2026 13:00:00 +01:00,23585.67,22294.88
03.01.2026 14:00:00 +01:00,24320.54,22400.24
03.01.2026 15:00:00 +01:00,24397.04,22574.47
03.01.2026 16:00:00 +01:00,24337.54,22857.92
03.01.2026 17:00:00 +01:00,24460.07,23020.06
03.01.2026 18:00:00 +01:00,24350.07,22792.78
03.01.2026 19:00:00 +01:00,24369.98,22533.03
03.01.2026 20:00:00 +01:00,24470.30,22280.77
03.01.2026 21:00:00 +01:00,24670.23,21946.63
03.01.2026 22:00:00 +01:00,24444.70,21580.30
03.01.2026 23:00:00 +01:00,23747.27,21234.79
04.01.2026 00:00:00 +01:00,23251.09,20954.12
04.01.2026 01:00:00 +01:00,22995.68,20683.22
04.01.2026 02:00:00 +01:00,22691.57,20402.65
04.01.2026 03:00:00 +01:00,22255.31,20344.72
04.01.2026 04:00:00 +01:00,21886.91,20302.33
04.01.2026 05:00:00 +01:00,22266.38,20329.06
04.01.2026 06:00:00 +01:00,22300.14,20469.87
04.01.2026 07:00:00 +01:00,22906.84,20704.58
04.01.2026 08:00:00 +01:00,22997.47,21044.33
04.01.2026 09:00:00 +01:00,23830.85,21430.81
04.01.2026 10:00:00 +01:00,23794.05,21854.66
04.01.2026 11:00:00 +01:00,23612.81,22098.98
04.01.2026 12:00:00 +01:00,23474.04,22171.21
04.01.2026 13:00:00 +01:00,23263.38,22243.70
04.01.2026 14:00:00 +01:00,23454.31,22298.67
04.01.2026 15:00:00 +01:00,23617.24,22562.35
04.01.2026 16:00:00 +01:00,23912.10,22754.31
04.01.2026 17:00:00 +01:00,24408.69,22644.39
04.01.2026 18:00:00 +01:00,24398.51,22511.17
04.01.2026 19:00:00 +01:00,24940.40,22394.35
04.01.2026 20:00:00 +01:00,25435.82,22275.75
04.01.2026 21:00:00 +01:00,25983.83,22146.63
04.01.2026 22:00:00 +01:00,25615.59,21873.88
04.01.2026 23:00:00 +01:00,24561.57,21413.12
05.01.2026 00:00:00 +01:00,24208.62,20937.72
05.01.2026 01:00:00 +01:00,23689.68,20584.44
05.01.2026 02:00:00 +01:00,23986.93,20395.38
05.01.2026 03:00:00 +01:00,23956.24,20323.36
05.01.2026 04:00:00 +01:00,24106.86,20398.41
05.01.2026 05:00:00 +01:00,23948.68,20816.43
05.01.2026 06:00:00 +01:00,24304.96,22043.25
05.01.2026 07:00:00 +01:00,25564.41,23250.82
05.01.2026 08:00:00 +01:00,25199.72,23608.87
05.01.2026 09:00:00 +01:00,25522.19,23697.86
05.01.2026 10:00:00 +01:00,25447.21,23688.90
05.01.2026 11:00:00 +01:00,25302.15,23622.86
05.01.2026 12:00:00 +01:00,25039.69,23660.87
05.01.2026 13:00:00 +01:00,25137.16,23623.20
05.01.2026 14:00:00 +01:00,25235.68,23614.60
05.01.2026 15:00:00 +01:00,25192.23,23732.53
05.01.2026 16:00:00 +01:00,25488.72,23873.87
05.01.2026 17:00:00 +01:00,25759.43,23786.11
05.01.2026 18:00:00 +01:00,25966.79,23490.05
05.01.2026 19:00:00 +01:00,26730.50,23324.02
05.01.2026 20:00:00 +01:00,26360.06,23118.67
05.01.2026 21:00:00 +01:00,26160.40,22951.34
05.01.2026 22:00:00 +01:00,26066.55,22514.91
05.01.2026 23:00:00 +01:00,25202.68,21901.72
06.01.2026 00:00:00 +01:00,25969.61,21463.35
06.01.2026 01:00:00 +01:00,25610.74,21109.78
06.01.2026 02:00:00 +01:00,25816.98,20917.35
06.01.2026 03:00:00 +01:00,25799.83,20885.04
06.01.2026 04:00:00 +01:00,25469.97,20929.84
06.01.2026 05:00:00 +01:00,25171.17,21206.61
06.01.2026 06:00:00 +01:00,26017.68,22298.67
06.01.2026 07:00:00 +01:00,26644.05,23656.49
06.01.2026 08:00:00 +01:00,26920.81,24090.34
06.01.2026 09:00:00 +01:00,27257.95,24139.40
06.01.2026 10:00:00 +01:00,27386.99,24046.76
06.01.2026 11:00:00 +01:00,27191.36,24050.15
06.01.2026 12:00:00 +01:00,27535.64,23971.05
06.01.2026 13:00:00 +01:00,27562.84,23949.88
06.01.2026 14:00:00 +01:00,27214.39,24093.76
06.01.2026 15:00:00 +01:00,26877.63,24331.33
06.01.2026 16:00:00 +01:00,27089.33,24588.65
06.01.2026 17:00:00 +01:00,27531.72,24412.86
06.01.2026 18:00:00 +01:00,27853.97,24283.20
06.01.2026 19:00:00 +01:00,27862.23,24177.76
06.01.2026 20:00:00 +01:00,27907.93,24137.41
06.01.2026 21:00:00 +01:00,27541.02,24050.73
06.01.2026 22:00:00 +01:00,27384.83,23577.28
06.01.2026 23:00:00 +01:00,26914.99,22928.54
07.01.2026 00:00:00 +01:00,25469.93,22276.96
07.01.2026 01:00:00 +01:00,25248.95,21951.83
07.01.2026 02:00:00 +01:00,24385.30,21753.04
07.01.2026 03:00:00 +01:00,23542.96,21674.08
07.01.2026 04:00:00 +01:00,22903.37,21727.06
07.01.2026 05:00:00 +01:00,23896.08,22098.69
07.01.2026 06:00:00 +01:00,25581.45,23201.49
07.01.2026 07:00:00 +01:00,26486.72,24518.79
07.01.2026 08:00:00 +01:00,26648.44,24968.28
07.01.2026 09:00:00 +01:00,27014.72,24992.36
07.01.2026 10:00:00 +01:00,27165.91,25045.96
07.01.2026 11:00:00 +01:00,27018.51,24829.95
07.01.2026 12:00:00 +01:00,26897.93,24819.60
07.01.2026 13:00:00 +01:00,26136.74,24744.55
07.01.2026 14:00:00 +01:00,26379.43,24777.78
07.01.2026 15:00:00 +01:00,26667.99,25022.01
07.01.2026 16:00:00 +01:00,27245.70,25324.02
07.01.2026 17:00:00 +01:00,27585.12,25105.51
07.01.2026 18:00:00 +01:00,27334.84,24812.37
07.01.2026 19:00:00 +01:00,27071.41,24639.88
07.01.2026 20:00:00 +01:00,27048.35,24466.24
07.01.2026 21:00:00 +01:00,26692.22,24183.32
07.01.2026 22:00:00 +01:00,26260.54,23612.12
07.01.2026 23:00:00 +01:00,25261.04,22934.48
08.01.2026 00:00:00 +01:00,23384.53,22347.94
08.01.2026 01:00:00 +01:00,23063.49,21896.80
08.01.2026 02:00:00 +01:00,22364.94,21667.81
08.01.2026 03:00:00 +01:00,22172.03,21442.10
08.01.2026 04:00:00 +01:00,22674.68,21502.75
08.01.2026 05:00:00 +01:00,23273.05,21908.28
08.01.2026 06:00:00 +01:00,24815.90,23177.95
08.01.2026 07:00:00 +01:00,26553.35,24497.16
08.01.2026 08:00:00 +01:00,26895.92,24823.32
08.01.2026 09:00:00 +01:00,27053.96,24872.77
08.01.2026 10:00:00 +01:00,26637.17,24832.32
08.01.2026 11:00:00 +01:00,26426.98,24716.60
08.01.2026 12:00:00 +01:00,26295.42,24507.12
08.01.2026 13:00:00 +01:00,26218.21,24297.18
08.01.2026 14:00:00 +01:00,26369.64,24357.61
08.01.2026 15:00:00 +01:00,26689.32,24681.59
08.01.2026 16:00:00 +01:00,26714.13,25077.54
08.01.2026 17:00:00 +01:00,27148.94,24962.86
08.01.2026 18:00:00 +01:00,27211.85,24721.19
08.01.2026 19:00:00 +01:00,26647.88,24570.08
08.01.2026 20:00:00 +01:00,25788.63,24441.71
08.01.2026 21:00:00 +01:00,25580.99,24134.09
08.01.2026 22:00:00 +01:00,25240.57,23573.90
08.01.2026 23:00:00 +01:00,22906.11,22864.26
09.01.2026 00:00:00 +01:00,21569.73,22216.81
09.01.2026 01:00:00 +01:00,20635.93,21770.90
09.01.2026 02:00:00 +01:00,19099.60,21486.32
09.01.2026 03:00:00 +01:00,18336.13,21300.32
09.01.2026 04:00:00 +01:00,18346.12,21261.95
09.01.2026 05:00:00 +01:00,19016.39,21548.06
09.01.2026 06:00:00 +01:00,21927.59,22658.85
09.01.2026 07:00:00 +01:00,25139.94,23938.46
