Latitude (decimal degrees):	58.641
Longitude (decimal degrees):	6.578
Elevation (m):	463
Radiation database:	PVGIS-SARAH3


Slope: 60 deg. 
Azimuth: -179 deg. 
time,G(i),H_sun,T2m,WS10m,Int
20220101:0011,0.0,0.0,1.61,1.86,0.0
20220101:0111,0.0,0.0,1.5,1.72,0.0
20220101:0211,0.0,0.0,1.24,1.59,0.0
20220101:0311,0.0,0.0,1.58,1.1,0.0
20220101:0411,0.0,0.0,0.44,1.59,0.0
20220101:0511,0.0,0.0,0.2,1.52,0.0
20220101:0611,0.0,0.0,-0.02,1.66,0.0
20220101:0711,0.0,0.0,-0.89,1.72,0.0
20220101:0811,0.0,0.0,-0.29,1.93,0.0
20220101:0911,1.38,2.96,0.22,2.28,0.0
20220101:1011,17.89,6.44,0.01,2.21,0.0
20220101:1111,6.88,8.18,0.34,2.41,0.0
20220101:1211,15.14,8.04,0.63,2.62,0.0
20220101:1311,24.78,6.04,0.5,2.83,0.0
20220101:1411,1.38,2.34,0.23,3.1,0.0
20220101:1511,0.0,0.0,0.0,3.1,0.0
20220101:1611,0.0,0.0,-0.07,2.48,0.0
20220101:1711,0.0,0.0,-0.09,2.14,0.0
20220101:1811,0.0,0.0,0.01,1.86,0.0
20220101:1911,0.0,0.0,0.67,1.03,0.0
20220101:2011,0.0,0.0,0.83,0.97,0.0
20220101:2111,0.0,0.0,0.99,0.9,0.0
20220101:2211,0.0,0.0,1.76,0.62,0.0
20220101:2311,0.0,0.0,2.44,0.97,0.0
20220102:0011,0.0,0.0,2.27,1.52,0.0
20220102:0111,0.0,0.0,2.42,1.72,0.0
20220102:0211,0.0,0.0,2.61,1.93,0.0
20220102:0311,0.0,0.0,2.78,2.28,0.0
20220102:0411,0.0,0.0,3.1,2.55,0.0
20220102:0511,0.0,0.0,2.8,2.07,0.0
20220102:0611,0.0,0.0,3.01,2.0,0.0
20220102:0711,0.0,0.0,3.03,1.79,0.0
20220102:0811,0.0,0.0,3.15,1.66,0.0
20220102:0911,5.51,3.01,3.0,1.59,0.0
20220102:1011,30.97,6.5,3.55,1.24,0.0
20220102:1111,22.71,8.25,3.93,1.1,0.0
20220102:1211,7.57,8.13,3.14,1.45,0.0
20220102:1311,23.4,6.15,2.84,1.72,0.0
20220102:1411,1.38,2.45,2.95,1.66,0.0
20220102:1511,0.0,0.0,2.9,1.45,0.0
20220102:1611,0.0,0.0,2.61,1.59,0.0
20220102:1711,0.0,0.0,2.51,1.66,0.0
20220102:1811,0.0,0.0,2.25,1.93,0.0
20220102:1911,0.0,0.0,2.36,2.21,0.0
20220102:2011,0.0,0.0,2.03,1.79,0.0
20220102:2111,0.0,0.0,1.76,1.45,0.0
20220102:2211,0.0,0.0,1.63,1.24,0.0
20220102:2311,0.0,0.0,1.64,0.97,0.0
20220103:0011,0.0,0.0,1.48,0.9,0.0
20220103:0111,0.0,0.0,1.78,1.24,0.0
20220103:0211,0.0,0.0,1.53,1.31,0.0
20220103:0311,0.0,0.0,1.41,1.52,0.0
20220103:0411,0.0,0.0,1.36,1.45,0.0
20220103:0511,0.0,0.0,1.35,1.59,0.0
20220103:0611,0.0,0.0,1.47,1.72,0.0
20220103:0711,0.0,0.0,2.52,2.97,0.0
20220103:0811,0.0,0.0,2.26,2.41,0.0
20220103:0911,2.06,3.06,2.03,2.76,0.0
20220103:1011,19.27,6.57,2.5,2.83,0.0
20220103:1111,6.88,8.34,2.41,2.48,0.0
20220103:1211,11.7,8.24,2.76,2.9,0.0
20220103:1311,29.59,6.26,2.16,2.0,0.0
20220103:1411,5.51,2.57,1.11,2.55,0.0
20220103:1511,0.0,0.0,0.13,3.45,0.0
20220103:1611,0.0,0.0,-0.97,3.24,0.0
20220103:1711,0.0,0.0,-2.09,3.03,0.0
20220103:1811,0.0,0.0,-2.62,3.03,0.0
20220103:1911,0.0,0.0,-2.71,2.76,0.0
20220103:2011,0.0,0.0,-2.37,2.69,0.0
20220103:2111,0.0,0.0,-2.11,2.69,0.0
20220103:2211,0.0,0.0,-1.9,2.97,0.0
20220103:2311,0.0,0.0,-1.56,3.31,0.0
20220104:0011,0.0,0.0,-1.27,3.66,0.0
20220104:0111,0.0,0.0,-1.13,3.66,0.0
20220104:0211,0.0,0.0,-0.83,3.52,0.0
20220104:0311,0.0,0.0,-0.39,3.52,0.0
20220104:0411,0.0,0.0,-0.85,3.66,0.0
20220104:0511,0.0,0.0,-0.81,2.48,0.0
20220104:0611,0.0,0.0,-0.81,2.48,0.0
20220104:0711,0.0,0.0,-1.18,2.97,0.0
20220104:0811,0.0,0.0,-1.37,2.34,0.0
20220104:0911,11.01,3.13,-1.22,2.14,0.0
20220104:1011,5.51,6.65,-0.77,2.48,0.0
20220104:1111,12.39,8.44,-1.07,2.14,0.0
20220104:1211,41.3,8.34,-0.82,2.41,0.0
20220104:1311,8.26,6.38,-1.16,2.21,0.0
20220104:1411,1.38,2.7,-1.76,1.52,0.0
20220104:1511,0.0,0.0,-2.28,1.52,0.0
20220104:1611,0.0,0.0,-2.99,1.45,0.0
20220104:1711,0.0,0.0,-3.13,1.38,0.0
20220104:1811,0.0,0.0,-2.97,1.52,0.0
20220104:1911,0.0,0.0,-2.97,1.66,0.0
20220104:2011,0.0,0.0,-2.37,1.52,0.0
20220104:2111,0.0,0.0,-2.47,1.59,0.0
20220104:2211,0.0,0.0,-2.4,1.66,0.0
20220104:2311,0.0,0.0,-1.85,1.66,0.0
20220105:0011,0.0,0.0,-1.25,1.79,0.0
20220105:0111,0.0,0.0,-1.31,1.24,0.0
20220105:0211,0.0,0.0,-1.09,1.1,0.0
20220105:0311,0.0,0.0,-1.78,1.45,0.0
20220105:0411,0.0,0.0,-2.51,1.59,0.0
20220105:0511,0.0,0.0,-4.21,1.93,0.0
20220105:0611,0.0,0.0,-5.1,2.0,0.0
20220105:0711,0.0,0.0,-6.65,2.14,0.0
20220105:0811,0.0,0.0,-7.01,2.14,0.0
20220105:0911,2.06,3.2,-6.4,2.0,0.0
20220105:1011,26.84,6.74,-6.21,2.0,0.0
20220105:1111,30.97,8.54,-5.98,2.0,0.0
20220105:1211,39.92,8.46,-5.67,1.93,0.0
20220105:1311,31.66,6.51,-6.03,2.07,0.0
20220105:1411,1.38,2.84,-6.53,2.21,0.0
20220105:1511,0.0,0.0,-6.82,2.21,0.0
20220105:1611,0.0,0.0,-6.78,2.21,0.0
20220105:1711,0.0,0.0,-7.35,2.28,0.0
20220105:1811,0.0,0.0,-7.79,2.34,0.0
20220105:1911,0.0,0.0,-6.93,2.28,0.0
20220105:2011,0.0,0.0,-7.02,2.28,0.0
20220105:2111,0.0,0.0,-6.99,2.21,0.0
20220105:2211,0.0,0.0,-6.76,2.14,0.0
20220105:2311,0.0,0.0,-6.67,2.07,0.0
20220106:0011,0.0,0.0,-6.64,2.07,0.0
20220106:0111,0.0,0.0,-6.72,2.07,0.0
20220106:0211,0.0,0.0,-6.37,2.0,0.0
20220106:0311,0.0,0.0,-6.42,2.0,0.0
20220106:0411,0.0,0.0,-6.49,1.93,0.0
20220106:0511,0.0,0.0,-6.72,1.93,0.0
20220106:0611,0.0,0.0,-7.18,1.93,0.0
20220106:0711,0.0,0.0,-8.39,2.07,0.0
20220106:0811,0.0,0.0,-7.55,1.86,0.0
20220106:0911,2.06,3.28,-8.13,1.86,0.0
20220106:1011,5.51,6.83,-7.83,1.72,0.0
20220106:1111,7.57,8.65,-7.1,1.59,0.0
20220106:1211,7.57,8.58,-6.56,1.52,0.0
20220106:1311,9.64,6.64,-6.51,1.38,0.0
20220106:1411,4.13,2.98,-6.89,1.59,0.0
20220106:1511,0.0,0.0,-8.66,1.86,0.0
20220106:1611,0.0,0.0,-8.71,1.93,0.0
20220106:1711,0.0,0.0,-7.96,1.93,0.0
20220106:1811,0.0,0.0,-7.02,2.0,0.0
20220106:1911,0.0,0.0,-6.09,1.93,0.0
20220106:2011,0.0,0.0,-6.03,2.14,0.0
20220106:2111,0.0,0.0,-5.63,2.21,0.0
20220106:2211,0.0,0.0,-5.37,2.21,0.0
20220106:2311,0.0,0.0,-4.95,2.28,0.0
20220107:0011,0.0,0.0,-4.46,2.14,0.0
20220107:0111,0.0,0.0,-4.04,2.34,0.0
20220107:0211,0.0,0.0,-3.64,2.34,0.0
20220107:0311,0.0,0.0,-3.36,2.14,0.0
20220107:0411,0.0,0.0,-3.04,2.41,0.0
20220107:0511,0.0,0.0,-2.9,2.62,0.0
20220107:0611,0.0,0.0,-2.58,2.28,0.0
20220107:0711,0.0,0.0,-2.21,2.14,0.0
20220107:0811,0.0,0.0,-1.96,2.21,0.0
20220107:0911,11.7,3.37,-1.8,2.07,0.0
20220107:1011,7.57,6.93,-1.87,2.0,0.0
20220107:1111,7.57,8.76,-1.44,1.86,0.0
20220107:1211,7.57,8.71,-1.58,1.79,0.0
20220107:1311,5.51,6.78,-1.72,1.72,0.0
20220107:1411,10.32,3.12,-2.51,1.79,0.0
20220107:1511,0.0,0.0,-2.89,1.72,0.0
20220107:1611,0.0,0.0,-2.92,1.72,0.0
20220107:1711,0.0,0.0,-3.52,1.66,0.0
20220107:1811,0.0,0.0,-3.31,1.45,0.0
20220107:1911,0.0,0.0,-2.64,1.79,0.0
20220107:2011,0.0,0.0,-2.93,1.86,0.0
20220107:2111,0.0,0.0,-3.13,1.93,0.0
20220107:2211,0.0,0.0,-3.23,2.21,0.0
20220107:2311,0.0,0.0,-2.7,2.07,0.0
20220108:0011,0.0,0.0,-2.7,2.0,0.0
20220108:0111,0.0,0.0,-3.09,1.86,0.0
20220108:0211,0.0,0.0,-3.36,1.59,0.0
20220108:0311,0.0,0.0,-3.1,1.45,0.0
20220108:0411,0.0,0.0,-3.16,1.38,0.0
20220108:0511,0.0,0.0,-3.03,1.24,0.0
20220108:0611,0.0,0.0,-3.08,1.1,0.0
20220108:0711,0.0,0.0,-2.46,0.76,0.0
20220108:0811,0.0,0.0,-2.64,0.76,0.0
20220108:0911,3.44,3.46,-2.84,0.9,0.0
20220108:1011,11.7,7.04,-2.63,0.83,0.0
20220108:1111,45.42,8.89,-2.81,1.1,0.0
20220108:1211,41.3,8.85,-2.75,1.79,0.0
20220108:1311,10.32,6.93,-2.76,1.52,0.0
20220108:1411,2.06,3.28,-3.15,1.52,0.0
20220108:1511,0.0,0.0,-3.66,1.66,0.0
20220108:1611,0.0,0.0,-3.5,2.07,0.0
20220108:1711,0.0,0.0,-3.34,2.76,0.0
20220108:1811,0.0,0.0,-3.33,3.31,0.0
20220108:1911,0.0,0.0,-3.28,3.17,0.0
20220108:2011,0.0,0.0,-3.46,3.31,0.0
20220108:2111,0.0,0.0,-3.44,4.21,0.0
20220108:2211,0.0,0.0,-3.55,4.62,0.0
20220108:2311,0.0,0.0,-3.58,4.97,0.0
20220109:0011,0.0,0.0,-3.6,4.9,0.0
20220109:0111,0.0,0.0,-3.69,5.1,0.0
20220109:0211,0.0,0.0,-3.68,5.31,0.0
20220109:0311,0.0,0.0,-3.48,5.45,0.0
20220109:0411,0.0,0.0,-3.2,5.45,0.0
20220109:0511,0.0,0.0,-2.89,5.52,0.0
20220109:0611,0.0,0.0,-2.6,5.45,0.0
20220109:0711,0.0,0.0,-2.15,5.86,0.0
20220109:0811,0.0,0.0,-2.13,5.86,0.0
20220109:0911,2.06,3.56,-2.09,5.72,0.0
20220109:1011,15.83,7.16,-2.08,5.59,0.0
20220109:1111,35.1,9.02,-2.06,5.59,0.0
20220109:1211,44.05,8.99,-2.13,5.66,0.0
20220109:1311,19.27,7.08,-2.26,5.66,0.0
20220109:1411,2.06,3.44,-2.39,5.72,0.0
20220109:1511,0.0,0.0,-2.6,5.45,0.0
20220109:1611,0.0,0.0,-2.71,5.38,0.0
20220109:1711,0.0,0.0,-2.87,5.45,0.0
20220109:1811,0.0,0.0,-2.99,5.38,0.0
20220109:1911,0.0,0.0,-2.32,5.24,0.0
20220109:2011,0.0,0.0,-2.39,5.1,0.0
20220109:2111,0.0,0.0,-2.2,5.1,0.0
20220109:2211,0.0,0.0,-2.08,5.17,0.0
20220109:2311,0.0,0.0,-1.96,5.17,0.0
20220110:0011,0.0,0.0,-2.26,5.17,0.0
20220110:0111,0.0,0.0,-2.74,5.17,0.0
20220110:0211,0.0,0.0,-2.92,5.03,0.0
20220110:0311,0.0,0.0,-3.13,4.83,0.0
20220110:0411,0.0,0.0,-3.34,4.55,0.0
20220110:0511,0.0,0.0,-3.46,4.41,0.0
20220110:0611,0.0,0.0,-3.25,4.34,0.0
20220110:0711,0.0,0.0,-2.02,4.55,0.0
20220110:0811,0.0,0.0,-2.16,4.28,0.0
20220110:0911,2.06,3.67,-2.38,4.0,0.0
20220110:1011,5.51,7.28,-2.06,4.28,0.0
20220110:1111,7.57,9.16,-1.78,4.14,0.0
20220110:1211,7.57,9.15,-1.49,4.07,0.0
20220110:1311,5.51,7.24,-1.5,2.83,0.0
20220110:1411,2.06,3.61,-1.38,3.72,0.0
20220110:1511,0.0,0.0,-1.44,3.52,0.0
20220110:1611,0.0,0.0,-1.6,3.24,0.0
20220110:1711,0.0,0.0,-1.58,3.31,0.0
20220110:1811,0.0,0.0,-1.86,3.17,0.0
20220110:1911,0.0,0.0,-1.4,3.03,0.0
20220110:2011,0.0,0.0,-1.44,3.24,0.0
20220110:2111,0.0,0.0,-1.45,3.1,0.0
20220110:2211,0.0,0.0,-1.4,2.69,0.0
20220110:2311,0.0,0.0,-1.21,2.34,0.0
20220111:0011,0.0,0.0,-0.94,2.41,0.0
20220111:0111,0.0,0.0,-0.31,3.31,0.0
20220111:0211,0.0,0.0,0.13,3.24,0.0
20220111:0311,0.0,0.0,0.54,3.24,0.0
20220111:0411,0.0,0.0,1.05,3.59,0.0
20220111:0511,0.0,0.0,1.44,3.24,0.0
20220111:0611,0.0,0.0,1.6,3.59,0.0
20220111:0711,0.0,0.0,1.55,3.17,0.0
20220111:0811,0.0,0.0,1.53,2.62,0.0
20220111:0911,15.83,3.79,1.52,2.34,0.0
20220111:1011,6.88,7.42,1.47,1.66,0.0
20220111:1111,35.79,9.31,2.19,0.9,0.0
20220111:1211,22.02,9.3,1.72,1.24,0.0
20220111:1311,12.39,7.41,1.42,1.72,0.0
20220111:1411,2.06,3.78,1.03,1.93,0.0
20220111:1511,0.0,0.0,-0.57,1.72,0.0
20220111:1611,0.0,0.0,-0.78,1.59,0.0
20220111:1711,0.0,0.0,-0.17,1.31,0.0
20220111:1811,0.0,0.0,-0.18,1.03,0.0
20220111:1911,0.0,0.0,-3.63,0.83,0.0
20220111:2011,0.0,0.0,-1.55,0.48,0.0
20220111:2111,0.0,0.0,-0.09,0.48,0.0
20220111:2211,0.0,0.0,0.07,1.17,0.0
20220111:2311,0.0,0.0,0.05,1.52,0.0
20220112:0011,0.0,0.0,0.44,1.52,0.0
20220112:0111,0.0,0.0,0.85,1.86,0.0
20220112:0211,0.0,0.0,1.15,2.0,0.0
20220112:0311,0.0,0.0,1.82,2.21,0.0
20220112:0411,0.0,0.0,1.81,2.48,0.0
20220112:0511,0.0,0.0,2.03,2.9,0.0
20220112:0611,0.0,0.0,2.3,3.38,0.0
20220112:0711,0.0,0.0,2.41,3.24,0.0
20220112:0811,0.0,0.0,2.62,3.52,0.0
20220112:0911,3.44,3.91,2.82,3.59,0.0
20220112:1011,6.19,7.55,3.21,3.93,0.0
20220112:1111,8.26,9.46,3.66,4.14,0.0
20220112:1211,11.01,9.47,4.18,4.55,0.0
20220112:1311,28.91,7.59,4.57,5.03,0.0
20220112:1411,14.45,3.96,4.76,5.17,0.0
20220112:1511,0.0,0.0,4.72,5.17,0.0
20220112:1611,0.0,0.0,4.69,5.31,0.0
20220112:1711,0.0,0.0,4.76,5.52,0.0
20220112:1811,0.0,0.0,4.81,5.93,0.0
20220112:1911,0.0,0.0,4.84,5.79,0.0
20220112:2011,0.0,0.0,4.73,6.14,0.0
20220112:2111,0.0,0.0,4.56,6.21,0.0
20220112:2211,0.0,0.0,4.47,6.21,0.0
20220112:2311,0.0,0.0,4.46,6.28,0.0
20220113:0011,0.0,0.0,4.43,6.28,0.0
20220113:0111,0.0,0.0,4.25,6.28,0.0
20220113:0211,0.0,0.0,4.22,6.34,0.0
20220113:0311,0.0,0.0,4.23,6.34,0.0
20220113:0411,0.0,0.0,4.25,6.28,0.0
20220113:0511,0.0,0.0,4.21,6.14,0.0
20220113:0611,0.0,0.0,4.19,6.14,0.0
20220113:0711,0.0,0.0,4.34,5.59,0.0
20220113:0811,0.0,0.0,4.36,5.72,0.0
20220113:0911,15.14,4.04,4.23,5.79,0.0
20220113:1011,19.96,7.7,3.97,5.72,0.0
20220113:1111,9.64,9.62,3.95,5.59,0.0
20220113:1211,35.79,9.64,3.93,5.52,0.0
20220113:1311,35.79,7.77,4.03,5.45,0.0
20220113:1411,2.75,4.15,4.12,5.38,0.0
20220113:1511,0.0,0.0,4.24,5.24,0.0
20220113:1611,0.0,0.0,4.38,5.38,0.0
20220113:1711,0.0,0.0,4.46,5.52,0.0
20220113:1811,0.0,0.0,4.38,5.59,0.0
20220113:1911,0.0,0.0,4.33,4.0,0.0
20220113:2011,0.0,0.0,4.28,4.14,0.0
