Latitude (deg.): 58.641
Longitude (deg.): 6.578

A		H_hor		A_sun(w)		H_sun(w)		A_sun(s)		H_sun(s)
-180.0		11.1		-180.0		0.0		-180.0		0.0
-172.5		11.1		-168.1		0.0		-173.1		0.0
-165.0		10.3		-156.6		0.0		-166.2		0.0
-157.5		9.5		-145.8		0.0		-159.3		0.0
-150.0		19.5		-135.8		0.0		-152.6		0.0
-142.5		19.5		-126.6		0.0		-146.0		0.0
-135.0		19.5		-118.1		0.0		-139.6		0.1
-127.5		19.5		-110.3		0.0		-133.2		2.8
-120.0		19.5		-103.1		0.0		-127.0		5.8
-112.5		19.5		-96.2		0.0		-120.9		9.0
-105.0		19.5		-89.7		0.0		-114.8		12.5
-97.5		19.5		-83.4		0.0		-108.8		16.1
-90.0		19.5		-77.3		0.0		-102.7		19.9
-82.5		19.5		-71.2		0.0		-96.6		23.7
-75.0		20.6		-65.2		0.0		-90.3		27.6
-67.5		20.6		-59.1		0.0		-83.8		31.5
-60.0		21.8		-53.0		0.0		-76.9		35.3
-52.5		21.8		-46.8		0.0		-69.7		39.1
-45.0		20.2		-40.4		0.0		-61.9		42.6
-37.5		19.5		-34.0		2.2		-53.4		45.9
-30.0		19.5		-27.4		4.2		-44.2		48.9
-22.5		13.4		-20.7		5.8		-34.2		51.3
-15.0		7.6		-13.8		7.0		-23.4		53.2
-7.5		6.1		-6.9		7.7		-11.9		54.4
0.0		5.3		0.0		7.9		0.0		54.8
7.5		5.0		6.9		7.7		11.9		54.4
15.0		3.8		13.8		7.0		23.4		53.2
22.5		2.7		20.7		5.8		34.2		51.3
30.0		0.8		27.4		4.2		44.2		48.9
37.5		0.4		34.0		2.2		53.4		45.9
45.0		1.5		40.4		0.0		61.9		42.6
52.5		3.1		46.8		0.0		69.7		39.1
60.0		3.1		53.0		0.0		76.9		35.3
67.5		3.4		59.1		0.0		83.8		31.5
75.0		3.4		65.2		0.0		90.3		27.6
82.5		3.8		71.2		0.0		96.6		23.7
90.0		4.2		77.3		0.0		102.7		19.9
97.5		4.6		83.4		0.0		108.8		16.1
105.0		6.5		89.7		0.0		114.8		12.5
112.5		7.3		96.2		0.0		120.9		9.0
120.0		5.3		103.1		0.0		127.0		5.8
127.5		5.0		110.3		0.0		133.2		2.8
135.0		4.2		118.1		0.0		139.6		0.1
142.5		4.6		126.6		0.0		146.0		0.0
150.0		3.8		135.8		0.0		152.6		0.0
157.5		5.7		145.8		0.0		159.3		0.0
165.0		8.0		156.6		0.0		166.2		0.0
172.5		9.9		168.1		0.0		173.1		0.0
180.0		11.1		180.0		0.0		180.0		0.0

A: Azimuth (0 = S, 90 = W, -90 = E) (degree)
H_hor: Horizon height (degree)
A_sun(w): Sun azimuth in the winter solstice (Dec 21) (0 = S, 90 = W, -90 = E) (degree)
H_sun(w): Sun height in the winter solstice (Dec 21) (degree)
A_sun(s): Sun azimuth in the summer solstice (June 21) (0 = S, 90 = W, -90 = E) (degree)
H_sun(s): Sun height in the summer solstice (June 21) (degree)

PVGIS (c) European Union, 2001-2026
